1;1.000000;1;1;10;1;1.000000;1
1;1.000000;1;1;10;1;1.000000;12;0;-nan;0
1;1.000000;1;1;10;1;1.000000;12;0;-nan;03;0;-nan;0
2;1.000000;1;2;20;1;1.000000;12;1;1.000000;13;0;-nan;0
5;1.250000;2;3;1;50;1;1.000000;12;4;1.333333;23;0;-nan;0
8318;3.667549;8;112;385;592;564;352;205;50;8;83180;1652;3.552688;72;4850;3.803922;83;1816;3.439394;7
8431;3.664059;8;113;388;607;575;353;207;50;8;84310;1652;3.552688;72;4850;3.803922;83;1929;3.438503;7
8550;3.666381;8;114;391;617;584;356;211;51;8;85500;1771;3.570565;72;4850;3.803922;83;1929;3.438503;7
8806;3.695342;8;115;392;620;600;367;223;54;12;88060;1771;3.570565;72;5106;3.850679;83;1929;3.438503;7
8927;3.693422;8;116;397;631;610;372;225;54;12;89270;1771;3.570565;72;5106;3.850679;83;2050;3.445378;7
9054;3.697019;8;117;398;641;622;375;229;55;12;90540;1898;3.594697;72;5106;3.850679;83;2050;3.445378;7
9154;3.685185;8;118;410;656;627;377;229;55;12;91540;1898;3.594697;72;5106;3.850679;83;2150;3.412698;7
9414;3.712145;8;119;411;659;644;388;241;58;16;94140;1898;3.594697;72;5366;3.894049;83;2150;3.412698;7
9514;3.703387;8;120;422;672;647;392;242;58;16;95140;1998;3.561497;72;5366;3.894049;83;2150;3.412698;7
9776;3.728452;8;121;424;675;664;403;254;61;20;97760;1998;3.561497;72;5628;3.932914;83;2150;3.412698;7
9904;3.728916;8;122;428;686;674;406;258;62;20;99040;2126;3.573109;72;5628;3.932914;83;2150;3.412698;7
10038;3.730212;8;123;431;697;686;409;262;63;20;100380;2260;3.587302;72;5628;3.932914;83;2150;3.412698;7
10268;3.740619;8;124;432;712;700;425;265;67;20;102680;2260;3.587302;72;5858;3.944781;83;2150;3.412698;7
10468;3.764114;8;125;433;716;702;428;278;79;20;104680;2460;3.693694;72;5858;3.944781;83;2150;3.412698;7
10649;3.754937;8;126;449;731;718;431;282;79;20;106490;2460;3.693694;72;6039;3.921429;83;2150;3.412698;7
10866;3.757261;8;127;455;741;744;439;287;79;20;108660;2460;3.693694;72;6256;3.919799;83;2150;3.412698;7
10988;3.752732;8;128;459;757;756;440;289;79;20;109880;2460;3.693694;72;6256;3.919799;83;2272;3.411411;7
11113;3.748061;8;129;463;771;772;442;289;79;20;111130;2585;3.677098;72;6256;3.919799;83;2272;3.411411;7
11392;3.769689;8;130;466;774;790;454;302;82;24;113920;2585;3.677098;72;6535;3.953418;83;2272;3.411411;7
11497;3.758418;8;131;479;790;795;456;302;82;24;114970;2585;3.677098;72;6535;3.953418;83;2377;3.381223;7
11792;3.783125;8;132;481;792;811;469;319;85;28;117920;2585;3.677098;72;6830;3.991818;83;2377;3.381223;7
11927;3.780349;8;133;483;806;828;473;319;85;28;119270;2585;3.677098;72;6830;3.991818;83;2512;3.390013;7
12072;3.779587;8;134;485;819;844;478;321;85;28;120720;2585;3.677098;72;6830;3.991818;83;2657;3.406410;7
12257;3.790043;8;135;486;821;857;494;326;87;28;122570;2585;3.677098;72;6830;3.991818;83;2842;3.465854;7
12374;3.778321;8;136;500;839;863;496;326;87;28;123740;2585;3.677098;72;6830;3.991818;83;2959;3.436702;7
12631;3.788542;8;137;501;846;891;507;337;87;28;126310;2585;3.677098;72;7087;4.003955;83;2959;3.436702;7
12888;3.797289;8;138;504;853;918;518;348;87;28;128880;2585;3.677098;72;7344;4.013115;83;2959;3.436702;7
